"Notes on Volumes: Volume 1 and Volume 2 distinctions are largely arbitrary and based on a alphabetical sorting of filenames from the original scan files. The do not correspond do the order files were scanned, or anything else. Some file elements from colorization onwards have a directory structure that refers to Volume 1 or Volume 2, or simply ""1 of 2"" and ""2 of 2"".","Notes on Scan Batch: The original scans were made in three batches, and the files are on 6 drives (three batches, each with two copies)",,,,,Total Duration,,6:24:53,Total Frames,"554,232",,,,,,,,,,,,,,,,,,,,,,
Home Movie Volume / Partition,"Scan Batch (A, B, or C)",Filenames,Format,Original Scan Resolution,Original Scan Copy #1 Location,Original Scan Copy #2 Location,Original Scan Copy #3 Location,Duration at 23.97 fps (most of this was shot at 16 or 18 FPS),Clips Identified,Motion Tracked,Stabilized,Color Corrected,CC Duration,Notes,Color Corrected Copy #1 Location,Color Corrected Copy #2 Location,2k Export Location,Topaz Enhanced Location,Years,People,Location,Title,Description,Chapters,Tech Notes,Summary,Tag: Ruth,Tag: Disney,Tag: SF,Tag: Needs Edit,Tag: Theme Park,Workflow State
Hayward Movies Volume 1,Batch C,57-PT_FROS,16mm,4976x3472,Original Scans Batch C Copy 1,Original Scans Batch C Copy 2,Color Corrected Drive A,0:09:26,,,,Mailed,,Notes,Color Corrected Drive A,2k Enhanced Drive C,2k Enhanced Drive C,2k Enhanced Drive C,1957,Josephine Hayward (nee Myre),"Arizona Locations: Phoenix, Grand Canyon. etc.",Josephine Hayward (nee Myre) Arizona Trip 1957,Josephine Hayward (nee Myre) and a nurse friend of the family that John Sr. Hayward met in South Korea on a tour of Arizona. John Hayward is the camera operator.,"00:01 Downtown Phoenix AZ Christian Business Committee Conference
00:32 Josephine Hayward (nee Myre) in Arizona Desert
01:19 Josephine Hayward (nee Myre) at Desert Botanical Garden of Arizona
02:05 Josephine Hayward (nee Myre) at Montezuma Castle and Scenic Arizona
04:13 Josephine Hayward (nee Myre) at Grand Canyon Arizona
06:47 Treasure Trail Motel - Possibly Kanab Utah
06:55 Josephine Hayward (nee Myre) at Bryce Canyon Utah
09:56 Josephine Hayward (nee Myre) at Zion National Park Checkerboard Mesa Great White Throne
11:38 Josephine Hayward (nee Myre) at Calico Ghost Town California","Technical Notes: 8mm silent film at 16 frames per second film digitized using a Lasergraphics ScanStation at 4k resolution. Manually color corrected, converted to 2k resolution. Processed through Topaz Labs video tool with settings: Proteus Focus Fix Normal, convert to 48 fps with Chronos model, Stabilize full frame with strength of 81 and rolling shutter correction, and motion deblur with Themis model.","Josephine Hayward (nee Myre) and a nurse friend of the family that John Sr. Hayward met in South Korea on a tour of Arizona. John Hayward is the camera operator.

Chapters:
00:01 Downtown Phoenix AZ Christian Business Committee Conference
00:32 Josephine Hayward (nee Myre) in Arizona Desert
01:19 Josephine Hayward (nee Myre) at Desert Botanical Garden of Arizona
02:05 Josephine Hayward (nee Myre) at Montezuma Castle and Scenic Arizona
04:13 Josephine Hayward (nee Myre) at Grand Canyon Arizona
06:47 Treasure Trail Motel - Possibly Kanab Utah
06:55 Josephine Hayward (nee Myre) at Bryce Canyon Utah
09:56 Josephine Hayward (nee Myre) at Zion National Park Checkerboard Mesa Great White Throne
11:38 Josephine Hayward (nee Myre) at Calico Ghost Town California

People: Josephine Hayward (nee Myre)

Years: 1957
Locations: Arizona Locations: Phoenix, Grand Canyon. etc.

Technical Notes: 8mm silent film at 16 frames per second film digitized using a Lasergraphics ScanStation at 4k resolution. Manually color corrected, converted to 2k resolution. Processed through Topaz Labs video tool with settings: Proteus Focus Fix Normal, convert to 48 fps with Chronos model, Stabilize full frame with strength of 81 and rolling shutter correction, and motion deblur with Themis model.

File ID: 57-PT_FROS",,,,,,Uploaded
Hayward Movies Volume 1,Batch C,58-V1-FROS,16mm,4976x3472,Original Scans Batch C Copy 1,Original Scans Batch C Copy 2,Color Corrected Drive A,0:10:46,,,,Mailed,,Notes,Color Corrected Drive A,2k Enhanced Drive C,2k Enhanced Drive C,2k Enhanced Drive C,1958,"Josephine Hayward (nee Myre) and children John Jr., Joy, Mark, and James","Nevada, Utah, Wyoming, Michigan: Mackinac Island, Gitchee Gumee Camp, Silver River Falls, Western Bluff Scenic Overlook, Fort Wilkins","Road Trip to Nevada, Utah and Wyoming, and Michigan with Josephine, John Jr., Joy, Mark & James 1958","Hayward family Road Trip covering Las Vegas, Utah, Wyoming to Michigan visiting Mackinac Island, Gitchee Gumee Camp, and Fort Wilkins State Park with Josephine Hayward (nee Myre) and children: John Jr., Joy, Mark, James.","00:01 Picnic in Utah with Josephine Hayward (nee Myre) and kids: John Jr., Joy, Mark, and James
00:20 Las Vegas Signs
00:32 Hayward Family Road Trip to Utah
01:17 Landscapes Utah Idaho Wyoming
02:38 Hayward Family Trip to Wyoming
03:25 Hayward Family trip to Mackinac Island Michigan
09:32 Gitche Gumee Michigan
11:01 Silver River Falls Michigan
11:46 Western Bluff Scenic Overlook Michigan
13:13 Fort Wilkins State Park Michigan
14:59 Josephine Hayward (nee Myre) and Kids John Jr., Joy, Mark, and James at Lake Michigan","Technical Notes: 8mm silent film at 16 frames per second film digitized using a Lasergraphics ScanStation at 4k resolution. Manually color corrected, converted to 2k resolution. Processed through Topaz Labs video tool with settings: Proteus Focus Fix Normal, convert to 48 fps with Chronos model, Stabilize full frame with strength of 81 and rolling shutter correction, and motion deblur with Themis model.","Hayward family Road Trip covering Las Vegas, Utah, Wyoming to Michigan visiting Mackinac Island, Gitchee Gumee Camp, and Fort Wilkins State Park with Josephine Hayward (nee Myre) and children: John Jr., Joy, Mark, James.

Chapters:
00:01 Picnic in Utah with Josephine Hayward (nee Myre) and kids: John Jr., Joy, Mark, and James
00:20 Las Vegas Signs
00:32 Hayward Family Road Trip to Utah
01:17 Landscapes Utah Idaho Wyoming
02:38 Hayward Family Trip to Wyoming
03:25 Hayward Family trip to Mackinac Island Michigan
09:32 Gitche Gumee Michigan
11:01 Silver River Falls Michigan
11:46 Western Bluff Scenic Overlook Michigan
13:13 Fort Wilkins State Park Michigan
14:59 Josephine Hayward (nee Myre) and Kids John Jr., Joy, Mark, and James at Lake Michigan

People: Josephine Hayward (nee Myre) and children John Jr., Joy, Mark, and James

Years: 1958
Locations: Nevada, Utah, Wyoming, Michigan: Mackinac Island, Gitchee Gumee Camp, Silver River Falls, Western Bluff Scenic Overlook, Fort Wilkins

Technical Notes: 8mm silent film at 16 frames per second film digitized using a Lasergraphics ScanStation at 4k resolution. Manually color corrected, converted to 2k resolution. Processed through Topaz Labs video tool with settings: Proteus Focus Fix Normal, convert to 48 fps with Chronos model, Stabilize full frame with strength of 81 and rolling shutter correction, and motion deblur with Themis model.

File ID: 58-V1-FROS",,,,,,Uploaded
Hayward Movies Volume 1,Batch C,58-V2_FROS,16mm,4976x3472,Original Scans Batch C Copy 1,Original Scans Batch C Copy 2,Color Corrected Drive A,0:08:25,,,,Mailed,,Notes,Color Corrected Drive A,2k Enhanced Drive C,2k Enhanced Drive C,2k Enhanced Drive C,1958,"Josephine Hayward (nee Myre) and children John Jr., Joy, Mark, and James","Michigan, Montana: Bearhat Mountain; Glacier National Park, Victoria BC: Butchart Gardens","Road Trip to Montana, Victoria BC with Hayward Family - 1958","Hayward family Road Trip departing the Copper Mine where John Jr. worked as a doctor in 1951-1952, to sights in Montana and Victoria BC.","00:01 Michigan Copper Mine that John Sr. worked at as a MD
00:14 Unknown Family
00:25 Paul Bunyan Roadside Attraction
00:37 Montana Landscape
01:32 Mountain Goat
01:50 Montana Wildflowers
01:55 John Jr. and Joy Hayward at Bearhat Mountain Montana
02:22 Logan Pass Glacier National Park Montana
04:13 Hayward Family at Waterton-Glacier International Peace Park
05:46 Hayward Family Trip to Victoria BC Canada Butchart Gardens","Technical Notes: 8mm silent film at 16 frames per second film digitized using a Lasergraphics ScanStation at 4k resolution. Manually color corrected, converted to 2k resolution. Processed through Topaz Labs video tool with settings: Proteus Focus Fix Normal, convert to 48 fps with Chronos model, Stabilize full frame with strength of 81 and rolling shutter correction, and motion deblur with Themis model.","Hayward family Road Trip departing the Copper Mine where John Jr. worked as a doctor in 1951-1952, to sights in Montana and Victoria BC.

Chapters:
00:01 Michigan Copper Mine that John Sr. worked at as a MD
00:14 Unknown Family
00:25 Paul Bunyan Roadside Attraction
00:37 Montana Landscape
01:32 Mountain Goat
01:50 Montana Wildflowers
01:55 John Jr. and Joy Hayward at Bearhat Mountain Montana
02:22 Logan Pass Glacier National Park Montana
04:13 Hayward Family at Waterton-Glacier International Peace Park
05:46 Hayward Family Trip to Victoria BC Canada Butchart Gardens

People: Josephine Hayward (nee Myre) and children John Jr., Joy, Mark, and James

Years: 1958
Locations: Michigan, Montana: Bearhat Mountain; Glacier National Park, Victoria BC: Butchart Gardens

Technical Notes: 8mm silent film at 16 frames per second film digitized using a Lasergraphics ScanStation at 4k resolution. Manually color corrected, converted to 2k resolution. Processed through Topaz Labs video tool with settings: Proteus Focus Fix Normal, convert to 48 fps with Chronos model, Stabilize full frame with strength of 81 and rolling shutter correction, and motion deblur with Themis model.

File ID: 58-V2_FROS",,,,,,Uploaded
Hayward Movies Volume 1,Batch C,59-HI_FROS,16mm,4976x3472,Original Scans Batch C Copy 1,Original Scans Batch C Copy 2,Color Corrected Drive A,0:12:42,,,,Mailed,,Notes,Color Corrected Drive A,2k Enhanced Drive C,2k Enhanced Drive C,2k Enhanced Drive C,1959,"John and Josephine Hayward, their eldest children twins John Jr. and Joy, Grandpa Oscar Myre was there as well",Hawaii,"Hawaii 1959 - Trip with John and Josephine Hayward, and their eldest children John Jr. and Joy",The Haywards took their eldest children on a trip to Hawaii in 1959.,"00:02 Josephine Hayward (nee Myre) and twins John Jr and Joy Flight to Hawaii
00:41 Hawaii Scenes with John Jr. and Joy Hayward
02:16 John Jr. and Joy Hayward at Beach in Hawaii
03:01 Josephine and John Jr. in town in Hawaii
03:40 Josephine and children John Jr., and Joy at Hotel Pool in Hawaii
04:04 Hawaii Sightseeing
05:23 John Sr. and Josephine Hayward and Unknown Couple Scenic Photos
05:47 Ernest Pyle Headstone at National Memorial Cemetery of the Pacific
05:58 Josephine Hayward (nee Myre), John Jr., and Joy in Town in Hawaii
08:49 Josephine Hayward (nee Myre), John Jr., Joy at Beach in Hawaii
10:32 Hawaiian Scenes
12:53 Josephine Hayward (nee Myre), John. Jr., Joy at Beach in Hawaii 2
13:08 Crouching Lion Restaurant Oahu
13:20 John Jr. and Joy Hayward at Mormon Temple Oauhu
14:19 Ocean Scenes in Hawaii
15:35 Luau
18:04 Ocean Scenes 2
18:25 John Jr. and Joy Hayward pick out Leis","Technical Notes: 8mm silent film at 16 frames per second film digitized using a Lasergraphics ScanStation at 4k resolution. Manually color corrected, converted to 2k resolution. Processed through Topaz Labs video tool with settings: Proteus Focus Fix Normal, convert to 48 fps with Chronos model, Stabilize full frame with strength of 81 and rolling shutter correction, and motion deblur with Themis model.","The Haywards took their eldest children on a trip to Hawaii in 1959.

Chapters:
00:02 Josephine Hayward (nee Myre) and twins John Jr and Joy Flight to Hawaii
00:41 Hawaii Scenes with John Jr. and Joy Hayward
02:16 John Jr. and Joy Hayward at Beach in Hawaii
03:01 Josephine and John Jr. in town in Hawaii
03:40 Josephine and children John Jr., and Joy at Hotel Pool in Hawaii
04:04 Hawaii Sightseeing
05:23 John Sr. and Josephine Hayward and Unknown Couple Scenic Photos
05:47 Ernest Pyle Headstone at National Memorial Cemetery of the Pacific
05:58 Josephine Hayward (nee Myre), John Jr., and Joy in Town in Hawaii
08:49 Josephine Hayward (nee Myre), John Jr., Joy at Beach in Hawaii
10:32 Hawaiian Scenes
12:53 Josephine Hayward (nee Myre), John. Jr., Joy at Beach in Hawaii 2
13:08 Crouching Lion Restaurant Oahu
13:20 John Jr. and Joy Hayward at Mormon Temple Oauhu
14:19 Ocean Scenes in Hawaii
15:35 Luau
18:04 Ocean Scenes 2
18:25 John Jr. and Joy Hayward pick out Leis

People: John and Josephine Hayward, their eldest children twins John Jr. and Joy, Grandpa Oscar Myre was there as well

Years: 1959
Locations: Hawaii

Technical Notes: 8mm silent film at 16 frames per second film digitized using a Lasergraphics ScanStation at 4k resolution. Manually color corrected, converted to 2k resolution. Processed through Topaz Labs video tool with settings: Proteus Focus Fix Normal, convert to 48 fps with Chronos model, Stabilize full frame with strength of 81 and rolling shutter correction, and motion deblur with Themis model.

File ID: 59-HI_FROS",,,,,,Uploaded
Hayward Movies Volume 1,Batch C,62-SF_FROS,16mm,4976x3472,Original Scans Batch C Copy 1,Original Scans Batch C Copy 2,Color Corrected Drive A,0:06:54,,,,Mailed,,Notes,Color Corrected Drive A,2k Enhanced Drive C,2k Enhanced Drive C,2k Enhanced Drive C,1962,"Josephine Hayward and children John Jr., Joy, Mark, Ruth, and James","Seattle, Washington",1962 Seattle World's Fair - Haywards Trip,"The Haywards trip to the 1962 World's Fair in Seattle, Washington.",00:01 1962 Seattle World's Fair,"Technical Notes: 8mm silent film at 16 frames per second film digitized using a Lasergraphics ScanStation at 4k resolution. Manually color corrected, converted to 2k resolution. Processed through Topaz Labs video tool with settings: Proteus Focus Fix Normal, convert to 48 fps with Chronos model, Stabilize full frame with strength of 81 and rolling shutter correction, and motion deblur with Themis model.","The Haywards trip to the 1962 World's Fair in Seattle, Washington.

Chapters:
00:01 1962 Seattle World's Fair

People: Josephine Hayward and children John Jr., Joy, Mark, Ruth, and James

Years: 1962
Locations: Seattle, Washington

Technical Notes: 8mm silent film at 16 frames per second film digitized using a Lasergraphics ScanStation at 4k resolution. Manually color corrected, converted to 2k resolution. Processed through Topaz Labs video tool with settings: Proteus Focus Fix Normal, convert to 48 fps with Chronos model, Stabilize full frame with strength of 81 and rolling shutter correction, and motion deblur with Themis model.

File ID: 62-SF_FROS",1,,,,,Uploaded
Hayward Movies Volume 1,Batch C,ADS_FROS,16mm,4976x3472,Original Scans Batch C Copy 1,Original Scans Batch C Copy 2,,0:11:54,,,,Intentionally skipped,,,No Color Corrected Version Intentionally,No Color Corrected Version Intentionally,Intentionally skipped,Intentionally skipped,,,,Vintage Kids Cereal Commercials,"A collection of vintage cereal and baked goods commercials from General Mills, Post, Hostess, and Quaker Oats","0:11 Raisin Bran - Post
0:42 Fortified Oat Flakes - Post
1:11 Twinkies - Hostess
1:43 Post Toasties - Post
2:13 Cheerios #1 - General Mills
2:42 Trix with the Trix Rabbit #1 - General Mills
3:13 Alpha Bits, Glow in the Dark Ball Promotion - Post
3:43 Lucky Charms - General Mills
4:13 Cheerios #2 - General Mills
4:44 Cheerios #3 - General Mills
5:15 Cocoa Puffs - General Mills
5:46 Cheerios #4 - General Mills
6:16 Lucky Charms, Magic Blow Pipe Promotion - General Mills
6:46 Cheerios #5 - General Mills
7:16 Trix with the Trix Rabbit #2 - General Mills
7:48 Cap'n Crunch #1 - Quaker Oats
8:47 Cap'n Crunch #2 - Quaker Oats
9:51 Cap'n Crunch Peanut Butter Cereal, Super Ring Promotion #3 - Quaker Oats
10:53 Cap'n Crunch, Crunch Berries, Peanut Butter, Quisp, Quake Cereals Super Car Kit Promotion - Quaker Oats",Technical Notes: 16mm film at 24 frames per second film digitized using a Lasergraphics ScanStation at 4k resolution.,"A collection of vintage cereal and baked goods commercials from General Mills, Post, Hostess, and Quaker Oats

Chapters:
0:11 Raisin Bran - Post
0:42 Fortified Oat Flakes - Post
1:11 Twinkies - Hostess
1:43 Post Toasties - Post
2:13 Cheerios #1 - General Mills
2:42 Trix with the Trix Rabbit #1 - General Mills
3:13 Alpha Bits, Glow in the Dark Ball Promotion - Post
3:43 Lucky Charms - General Mills
4:13 Cheerios #2 - General Mills
4:44 Cheerios #3 - General Mills
5:15 Cocoa Puffs - General Mills
5:46 Cheerios #4 - General Mills
6:16 Lucky Charms, Magic Blow Pipe Promotion - General Mills
6:46 Cheerios #5 - General Mills
7:16 Trix with the Trix Rabbit #2 - General Mills
7:48 Cap'n Crunch #1 - Quaker Oats
8:47 Cap'n Crunch #2 - Quaker Oats
9:51 Cap'n Crunch Peanut Butter Cereal, Super Ring Promotion #3 - Quaker Oats
10:53 Cap'n Crunch, Crunch Berries, Peanut Butter, Quisp, Quake Cereals Super Car Kit Promotion - Quaker Oats

People: 

Years: 
Locations: 

Technical Notes: 16mm film at 24 frames per second film digitized using a Lasergraphics ScanStation at 4k resolution.

File ID: ADS_FROS",,,,,,Uploaded
Hayward Movies Volume 1,Batch C,ADS_FROS-SAFE,16mm,4976x3472,Original Scans Batch C Copy 1,Original Scans Batch C Copy 2,,0:11:54,,,,Intentionally skipped,,,No Color Corrected Version Intentionally,No Color Corrected Version Intentionally,Intentionally skipped,Intentionally skipped,,,,,,,,"

Chapters:


People: 

Years: 
Locations: 



File ID: ADS_FROS-SAFE",,,,,,Skipped
Hayward Movies Volume 1,Batch C,CART_FROS,16mm,4976x3472,Original Scans Batch C Copy 1,Original Scans Batch C Copy 2,,0:05:22,,,,Intentionally skipped,,,No Color Corrected Version Intentionally,No Color Corrected Version Intentionally,Intentionally skipped,Intentionally skipped,,,,,,,,"

Chapters:


People: 

Years: 
Locations: 



File ID: CART_FROS",,,,,,Skipped
Hayward Movies Volume 1,Batch C,CART_FROS-SAFE,16mm,4976x3472,Original Scans Batch C Copy 1,Original Scans Batch C Copy 2,,0:05:22,,,,Intentionally skipped,,,No Color Corrected Version Intentionally,No Color Corrected Version Intentionally,Intentionally skipped,Intentionally skipped,,,,,,,,"

Chapters:


People: 

Years: 
Locations: 



File ID: CART_FROS-SAFE",,,,,,Skipped
Hayward Movies Volume 1,Batch C,HR-1-4_FROS,16mm,4976x3472,Original Scans Batch C Copy 1,Original Scans Batch C Copy 2,Color Corrected Drive A,0:37:31,,,,Verified,37:29:12,,Color Corrected Drive B,2k Enhanced Drive A,2k Enhanced Drive A,2k Enhanced Drive A,1950s,"Oscar Myre, and his kids and grandkids (children David, Oscar Jr. and Josephine and their spouses Gloria, Barbara, and John Sr. respectively)",Pacific Northwest and California,"Hayward Family Holidays, Fairs, Parks, and Parades: Knott's Berry Farm, Santa's Village, Rose Parade","The source for this film includes four 7 inch 16mm reels of footage which had all been combined. It includes the Myre side of Josephine and John Hayward's family over several years, likely in the 1956-60 timeframe. Several Christmas celebrations and trips to Seattle, Vancouver BC, and multiple California locations including: Fresno, Knott's Berry Farm, and Riverside.","00:01 Adults left to right: Josephine Hayward, Gloria Myre, David Myre, Barbara Myre, Oscar Myre, Arlene Wren, Irwin Wren, Oscar Myre Jr.
01:05 Seattle Harbor Army Boats
02:22 Victoria BC Canada
03:07 Josephine in Park
03:35 Josephine at Mt. Rainier National Park Washington
06:17 Redwoods visit with Irwin and Arlene Wren and the Haywards
08:23 Josephine Twins and Mark at Zoo
09:28 Fresno District Fair
09:46 Knott's Berry Farm visit with Irwin and Arlene Wren and the Haywards
10:29 Haywards and Wrens Christmas Morning
12:35 Haywards and Wrens Family Hume Lake Winter Skating Tubing
14:41 Haywards and Wrens Family San Juan Capistrano and Knott's Berry Farm
16:50 Christmas with Haywards and Arlene and Irwin Wren's Family
21:31 John Sr. and Haywards Tubing and Snowball Fight
23:29 Haywards and Arlene and Irwin Wren's Family at Knott's Berry Farm
27:10 Hayward Family Christmas Josephine Twins Mark James
28:53 John Mark James and Josephine in small backyard pool
29:16 Santa's Village
29:56 Josephine in Riverside CA Beauty Pageant Horse Show
31:23 Santa's Village with Kids
35:22 Christmas with Haywards, Oscar Myre, Irwin and Arlene Wren's Family
39:35 All Haywards Tubing and Snowball Fight
41:44 73rd Tournament of Roses Parade in Los Angeles, 1955
54:38 Snow at Reed Ave","Technical Notes: 16mm silent film at 16 frames per second film digitized using a Lasergraphics ScanStation at 4k resolution. Manually color corrected, converted to 2k resolution. Processed through Topaz Labs video tool with settings: Proteus Focus Fix Normal, convert to 48 fps with Chronos model, Stabilize full frame with strength of 81 and rolling shutter correction, and motion deblur with Themis model.","The source for this film includes four 7 inch 16mm reels of footage which had all been combined. It includes the Myre side of Josephine and John Hayward's family over several years, likely in the 1956-60 timeframe. Several Christmas celebrations and trips to Seattle, Vancouver BC, and multiple California locations including: Fresno, Knott's Berry Farm, and Riverside.

Chapters:
00:01 Adults left to right: Josephine Hayward, Gloria Myre, David Myre, Barbara Myre, Oscar Myre, Arlene Wren, Irwin Wren, Oscar Myre Jr.
01:05 Seattle Harbor Army Boats
02:22 Victoria BC Canada
03:07 Josephine in Park
03:35 Josephine at Mt. Rainier National Park Washington
06:17 Redwoods visit with Irwin and Arlene Wren and the Haywards
08:23 Josephine Twins and Mark at Zoo
09:28 Fresno District Fair
09:46 Knott's Berry Farm visit with Irwin and Arlene Wren and the Haywards
10:29 Haywards and Wrens Christmas Morning
12:35 Haywards and Wrens Family Hume Lake Winter Skating Tubing
14:41 Haywards and Wrens Family San Juan Capistrano and Knott's Berry Farm
16:50 Christmas with Haywards and Arlene and Irwin Wren's Family
21:31 John Sr. and Haywards Tubing and Snowball Fight
23:29 Haywards and Arlene and Irwin Wren's Family at Knott's Berry Farm
27:10 Hayward Family Christmas Josephine Twins Mark James
28:53 John Mark James and Josephine in small backyard pool
29:16 Santa's Village
29:56 Josephine in Riverside CA Beauty Pageant Horse Show
31:23 Santa's Village with Kids
35:22 Christmas with Haywards, Oscar Myre, Irwin and Arlene Wren's Family
39:35 All Haywards Tubing and Snowball Fight
41:44 73rd Tournament of Roses Parade in Los Angeles, 1955
54:38 Snow at Reed Ave

People: Oscar Myre, and his kids and grandkids (children David, Oscar Jr. and Josephine and their spouses Gloria, Barbara, and John Sr. respectively)

Years: 1950s
Locations: Pacific Northwest and California

Technical Notes: 16mm silent film at 16 frames per second film digitized using a Lasergraphics ScanStation at 4k resolution. Manually color corrected, converted to 2k resolution. Processed through Topaz Labs video tool with settings: Proteus Focus Fix Normal, convert to 48 fps with Chronos model, Stabilize full frame with strength of 81 and rolling shutter correction, and motion deblur with Themis model.

File ID: HR-1-4_FROS",1 (around 35),,,,1,Uploaded
