current_location, new_locations, replace
Arizona Locations: Phoenix, Arizona|Phoenix, 1
Battle Creek, Michigan, 0
California locations: Children's Fairlyand park in Oakland, Children's Fairyland Park|Oakland|California, 1
California: Reedley, Reedley|California, 1
California: Tulare, Tulare|California, 1
Coldwater, Coldwater|Michigan, 0
Cypress Gardens in Florida, Cypress Gardens|Florida, 1
Death Valley Nevada and Rhyolite Ghost Town, Rhyolite Ghost Town|Death Valley|Nevada, 1
Disneyland, Anaheim|California, 0
Fort Wilkins, Copper Harbor|Michigan, 0
Gitchee Gumee Camp, Eagle River|Michigan, 0
Grand Canyon, Arizona, 0
Hearst Castle, San Simeon|California, 0
Hume Lake, Hume Lake Christian Camps|Hume|California, 1
Jerusalem, Israel, 0
Knott's Berry Farm, Buena Park|California, 0
Michigan: Mackinac Island, Mackinac Island|Michigan, 1
Montana: Bearhat Mountain; Glacier National Park, Bearhat Mountain|Glacier National Park|Montana, 1
Monterey, California, 0
New Jersey and Battle Creek, New Jersey|Battle Creek|Michigan, 1
New Orleans, Louisiana, 0
Niagra Falls, New York, 0
Ocean City, New Jersey, 0
Pacific Northwest and California, Washington|California, 1
Reed Ave, 319 Reed Ave|Reedley|California, 1
Reedley, California, 0
Rock City, Lookout Mountain|Georgia, 0
San Francisco, California, 0
Seattle, Washington, 0
Silver River Falls, Eagle River|Michigan, 0
Victoria BC: Buchart Gardens, Buchart Gardens|Brentwood Bay|British Columbia|Canada, 1
Washington and Battle Creek, Washington|Battle Creek|Michigan, 1
Washington and Battle Creek Michigan, Washington|Battle Creek|Michigan, 1
Washington and Oregon, Washington|Oregon, 1
Washington and Victoria BC, Washington|Victoria|British Columbia|Canada, 1
Yosemite, Yosemite National Park|California, 1
home in Reedley CA, 319 Reed Ave|Reedley|California, 1
