file_id,film_title,current_youtube_id,new_youtube_id,new_youtube_url,video_title,confidence_score,confidence_level,action_needed
P-61_FROS,1961 Family Celebrations - Disneyland and other parks with Wrens and Myres,placeholder_P-61_FROS,YFIDOmMvxiY,https://www.youtube.com/watch?v=YFIDOmMvxiY,1961 Family Celebrations - Disneyland and other parks with Wrens and Myres,1.000,High Confidence,AUTO_APPLY
62-SF_FROS,1962 Seattle World's Fair - Haywards Trip,placeholder_62-SF_FROS,0MADtWjYWLI,https://www.youtube.com/watch?v=0MADtWjYWLI,1962 Seattle World's Fair - Haywards Trip,1.000,High Confidence,AUTO_APPLY
SL-71X_FROS,1971 Hayward Family Christmas,placeholder_SL-71X_FROS,tr3UssCdUiQ,https://www.youtube.com/watch?v=tr3UssCdUiQ,1971 Hayward Family Christmas,1.000,High Confidence,AUTO_APPLY
PA-03_FROS,"Beattie Family in New Jersey, and Hayward Family Copper Mine Home in Michigan",placeholder_PA-03_FROS,YyqFwqQ7btU,https://www.youtube.com/watch?v=YyqFwqQ7btU,"Beattie Family in New Jersey, and Hayward Family Copper Mine Home in Michigan",1.000,High Confidence,AUTO_APPLY
L-53_FROS,Bob Linder's Family Films Part 1 - Rock City Georgia and Bible Camp with Rosabell Hayward and her daughter Marjorie who married Bob,placeholder_L-53_FROS,DOBXIdB1-Yk,https://www.youtube.com/watch?v=DOBXIdB1-Yk,Bob Linder's Family Films Part 1 - Rock City Georgia and Bible Camp with Rosabell Hayward & Marjorie,0.812,High Confidence,AUTO_APPLY
L-65_FROS,Bob Linder's Family Films Part 10 - Summer Bible School and Flower Garden,placeholder_L-65_FROS,_Tqn7OeCbbc,https://www.youtube.com/watch?v=_Tqn7OeCbbc,Bob Linder's Family Films Part 10 - Summer Bible School and Flower Garden,1.000,High Confidence,AUTO_APPLY
L-55A_FROS,"Bob Linder's Family Films Part 2 - House fire, Moving, Ferry Boats and Locks",placeholder_L-55A_FROS,dKtcJUovlY0,https://www.youtube.com/watch?v=dKtcJUovlY0,"Bob Linder's Family Films Part 2 - House fire, Moving, Ferry Boats and Locks",1.000,High Confidence,AUTO_APPLY
L-55B_FROS,"Bob Linder's Family Films Part 3 - Parade in Battle Creek, Michigan",placeholder_L-55B_FROS,ZkGHmbdsvcw,https://www.youtube.com/watch?v=ZkGHmbdsvcw,"Bob Linder's Family Films Part 3 - Parade in Battle Creek, Michigan",1.000,High Confidence,AUTO_APPLY
L-55C_FROS,"Bob Linder's Family Films Part 4 - Lindner Home in Coldwater, Michigan",placeholder_L-55C_FROS,Rj2A2fvTZgc,https://www.youtube.com/watch?v=Rj2A2fvTZgc,"Bob Linder's Family Films Part 4 - Lindner Home in Coldwater, Michigan",1.000,High Confidence,AUTO_APPLY
L-56A_FROS,Bob Linder's Family Films Part 5 - Niagara Falls,placeholder_L-56A_FROS,5U37bNfl5_s,https://www.youtube.com/watch?v=5U37bNfl5_s,Bob Linder's Family Films Part 5 - Niagara Falls,1.000,High Confidence,AUTO_APPLY
L-56B_FROS,Bob Linder's Family Films Part 6 - Damaged Film of Boats and Cars,placeholder_L-56B_FROS,XTC2su-NbOU,https://www.youtube.com/watch?v=XTC2su-NbOU,Bob Linder's Family Films Part 6 - Damaged Film of Boats and Cars,1.000,High Confidence,AUTO_APPLY
